10:57:28.465 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @1168ms
10:57:28.547 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.5.v20141112
10:57:28.641 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor - NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
10:57:28.688 [main] INFO  / - Initializing Spring root WebApplicationContext
10:57:28.688 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
10:57:28.781 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Nov 15 10:57:28 JST 2017]; root of context hierarchy
10:57:28.828 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
10:57:29.748 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService  'clientInboundChannelExecutor'
10:57:29.764 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService  'clientOutboundChannelExecutor'
10:57:30.437 [main] INFO  org.springframework.aop.framework.CglibAopProxy - Unable to proxy method [void jp.co.worksap.updater.web.service.VersionService.deleteVersion(java.lang.String,int,java.lang.String)] because it is package-visible across different ClassLoaders: All calls to this method via a proxy will NOT be routed to the target instance.
10:57:30.437 [main] INFO  org.springframework.aop.framework.CglibAopProxy - Unable to proxy method [jp.co.worksap.updater.web.dto.VersionDto jp.co.worksap.updater.web.service.VersionService.getTestEnvironmentVersions(int,java.lang.String) throws java.io.IOException] because it is package-visible across different ClassLoaders: All calls to this method via a proxy will NOT be routed to the target instance.
10:57:30.452 [main] INFO  org.springframework.aop.framework.CglibAopProxy - Unable to proxy method [boolean jp.co.worksap.updater.web.service.RemoteResourceService.isRemoteResourceAvailable()] because it is package-visible across different ClassLoaders: All calls to this method via a proxy will NOT be routed to the target instance.
10:57:30.733 [main] WARN  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.context.ApplicationContext jp.co.worksap.updater.web.utils.SpringContextUtil.applicationContext
10:57:30.733 [main] WARN  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.context.ApplicationContext jp.co.worksap.updater.web.utils.SpringContextUtil.applicationContext
10:57:30.920 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@c2584d3, org.springframework.security.web.context.SecurityContextPersistenceFilter@6a818392, org.springframework.security.web.header.HeaderWriterFilter@5c5d6175, org.springframework.security.web.authentication.logout.LogoutFilter@2d64160c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4bd51d3e, jp.co.worksap.updater.web.filter.AdminUserFilter@6fa0450e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@512d6e60, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1de9b505, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@37468787, org.springframework.security.web.session.SessionManagementFilter@3b27b497, org.springframework.security.web.access.ExceptionTranslationFilter@31c628e7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@58740366]
10:57:30.959 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService  'messageBrokerTaskScheduler'
10:57:31.101 [main] INFO  org.springframework.web.socket.server.support.WebSocketHandlerMapping - Mapped URL path [/updaterSocket/**] onto handler of type [class org.springframework.web.socket.sockjs.support.SockJsHttpRequestHandler]
10:57:31.116 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService  'brokerChannelExecutor'
10:57:31.274 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
10:57:31.274 [main] INFO  org.springframework.messaging.simp.broker.SimpleBrokerMessageHandler - Starting...
10:57:31.274 [main] INFO  org.springframework.messaging.simp.broker.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
10:57:31.274 [main] INFO  org.springframework.messaging.simp.broker.SimpleBrokerMessageHandler - Started.
10:57:31.290 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2602 ms
10:57:31.321 [main] INFO  / - Initializing Spring FrameworkServlet 'main'
10:57:31.321 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'main': initialization started
10:57:31.321 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'main-servlet': startup date [Wed Nov 15 10:57:31 JST 2017]; parent: Root WebApplicationContext
10:57:31.321 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/main-servlet.xml]
10:57:31.511 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
10:57:31.558 [main] WARN  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - Autowired annotation should be used on methods with parameters: public void jp.co.worksap.updater.web.rest.UpdateWebService.init()
10:57:31.636 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[GET]}" onto public java.lang.String jp.co.worksap.updater.web.controller.LoginController.login(javax.servlet.http.HttpServletResponse)
10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.EnvironmentDto jp.co.worksap.updater.web.rest.AdminWebService.getEnv(int)
